list-card-link href,list-card-addr,list-card-type,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-variable-text,list-card-link src,,list-card-price,list-card-details 3,list-card-label 3,list-card-save-content
https://www.zillow.com/homedetails/2737-27th-St-APT-4A-Astoria-NY-11102/2113528275_zpid/,"2737 27th St APT 4A, Astoria, NY 11102",Apartment for rent,1,bd,1,ba,5 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2737 27th St Apt 4a, Astoria, NY 11102"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""575""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2737 27th St APT 4A"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11102""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.768822,""longitude"":-73.923434},""url"":""/homedetails/2737-27th-St-APT-4A-Astoria-NY-11102/2113528275_zpid/""}","$2,400/mo",575,sqft,Save this home
"https://www.zillow.com/b/2717-21st-St-Astoria-NY/40.771235,-73.926335_ll/","2717 21st St, Astoria, NY",For Rent,"$2,337+",1 bd,"$3,345 ",2 bds,Updated today,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
https://www.zillow.com/homedetails/2035-Gates-Ave-1-Flushing-NY-11385/2081894218_zpid/,"2035 Gates Ave # 1, Flushing, NY 11385",Apartment for rent,Studio,ba,1,sqft,6 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2035 Gates Ave # 1, Flushing, NY 11385"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2035 Gates Ave # 1"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11385""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.706819,""longitude"":-73.905143},""url"":""/homedetails/2035-Gates-Ave-1-Flushing-NY-11385/2081894218_zpid/""}","$2,195/mo",--,,Save this home
https://www.zillow.com/b/117-kingsland-ave-brooklyn-ny-3qCD/,"117 Kingsland Ave, Brooklyn, NY",For Rent,"$4,750 ",2 bds,"$4,750 ",4 bds,Updated yesterday,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
https://www.zillow.com/homedetails/2419-24th-St-1-Astoria-NY-11102/2081894569_zpid/,"2419 24th St # 1, Astoria, NY 11102",Apartment for rent,2,bds,1,ba,7 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2419 24th St # 1, Astoria, NY 11102"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,300""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2419 24th St # 1"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11102""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.774804,""longitude"":-73.920189},""url"":""/homedetails/2419-24th-St-1-Astoria-NY-11102/2081894569_zpid/""}","$2,595/mo","1,300",sqft,Save this home
https://www.zillow.com/homedetails/4180-Frame-Pl-1-Flushing-NY-11355/2081894732_zpid/,"4180 Frame Pl # 1, Flushing, NY 11355",Apartment for rent,1,bd,1,ba,7 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4180 Frame Pl # 1, Flushing, NY 11355"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""750""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4180 Frame Pl # 1"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11355""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.755106,""longitude"":-73.830569},""url"":""/homedetails/4180-Frame-Pl-1-Flushing-NY-11355/2081894732_zpid/""}","$1,750/mo",750,sqft,Save this home
https://www.zillow.com/homedetails/58th-Ave-Maspeth-NY-11378/2081894735_zpid/,"58th Ave, Maspeth, NY 11378",Apartment for rent,4,bds,3,ba,7 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""58th Ave, Maspeth, NY 11378"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":4,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""58th Ave"",""addressLocality"":""Maspeth"",""addressRegion"":""NY"",""postalCode"":""11378""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72392,""longitude"":-73.89433},""url"":""/homedetails/58th-Ave-Maspeth-NY-11378/2081894735_zpid/""}","$4,000/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/5104-Skillman-Ave-APT-D6-Woodside-NY-11377/2088304372_zpid/,"5104 Skillman Ave APT D6, Woodside, NY 11377",Apartment for rent,Studio,ba,1,sqft,7 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5104 Skillman Ave Apt D6, Woodside, NY 11377"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5104 Skillman Ave APT D6"",""addressLocality"":""Woodside"",""addressRegion"":""NY"",""postalCode"":""11377""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.745744,""longitude"":-73.913145},""url"":""/homedetails/5104-Skillman-Ave-APT-D6-Woodside-NY-11377/2088304372_zpid/""}","$1,500/mo",--,,Save this home
https://www.zillow.com/homedetails/4321-49th-St-2R-Sunnyside-NY-11104/2081894760_zpid/,"4321 49th St # 2R, Sunnyside, NY 11104",Apartment for rent,3,bds,1,ba,7 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4321 49th St # 2r, Sunnyside, NY 11104"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4321 49th St # 2R"",""addressLocality"":""Sunnyside"",""addressRegion"":""NY"",""postalCode"":""11104""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.743764,""longitude"":-73.915438},""url"":""/homedetails/4321-49th-St-2R-Sunnyside-NY-11104/2081894760_zpid/""}","$2,000/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/78th-St-Flushing-NY-11379/2081895100_zpid/,"78th St, Flushing, NY 11379",Apartment for rent,2,bds,1,ba,7 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""78th St, Flushing, NY 11379"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""78th St"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11379""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.72805,""longitude"":-73.88387},""url"":""/homedetails/78th-St-Flushing-NY-11379/2081895100_zpid/""}","$1,899/mo",--,sqft,Save this home
https://www.zillow.com/b/3613-34th-ave-astoria-ny-BcVxVz/,"3613 34th Ave, Astoria, NY",For Rent,"$2,172 ",1 bd,"$3,200 ",3 bds,Updated today,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
"https://www.zillow.com/b/4716-Greenpoint-Ave-Sunnyside-NY/40.742493,-73.917195_ll/","4716 Greenpoint Ave, Sunnyside, NY",For Rent,"$2,650 ",1 bd,"$3,500 ",2 bds,Updated today,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
https://www.zillow.com/b/3042-38th-st-astoria-ny-5gRHXb/,"3042 38th St, Astoria, NY",For Rent,"$3,000+",3 bds,,,Updated today,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
https://www.zillow.com/homedetails/7617-47th-Ave-2-Elmhurst-NY-11373/2097425002_zpid/,"7617 47th Ave # 2, Elmhurst, NY 11373",Apartment for rent,Studio,ba,1,sqft,8 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7617 47th Ave # 2, Elmhurst, NY 11373"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""550""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7617 47th Ave # 2"",""addressLocality"":""Elmhurst"",""addressRegion"":""NY"",""postalCode"":""11373""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.739857,""longitude"":-73.88743},""url"":""/homedetails/7617-47th-Ave-2-Elmhurst-NY-11373/2097425002_zpid/""}","$1,500/mo",550,,Save this home
https://www.zillow.com/b/504-e-88th-st-new-york-ny-2GBZ/,"504 E 88th St, New York, NY",For Rent,"$2,455+",1 bd,,,Updated today,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
https://www.zillow.com/homedetails/3733-28th-St-APT-1L-Long-Island-City-NY-11101/2081896067_zpid/,"3733 28th St APT 1L, Long Island City, NY 11101",Apartment for rent,1,bd,1,ba,9 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3733 28th St Apt 1l, Long Island City, NY 11101"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3733 28th St APT 1L"",""addressLocality"":""Long Island City"",""addressRegion"":""NY"",""postalCode"":""11101""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.755237,""longitude"":-73.933816},""url"":""/homedetails/3733-28th-St-APT-1L-Long-Island-City-NY-11101/2081896067_zpid/""}","$2,195/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/2525-47th-St-2F-Astoria-NY-11103/2081896181_zpid/,"2525 47th St # 2F, Astoria, NY 11103",Apartment for rent,2,bds,1,ba,9 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2525 47th St # 2f, Astoria, NY 11103"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2525 47th St # 2F"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11103""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.76453,""longitude"":-73.906419},""url"":""/homedetails/2525-47th-St-2F-Astoria-NY-11103/2081896181_zpid/""}","$2,200/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/3232-34th-St-APT-32-Astoria-NY-11106/2088904261_zpid/,"3232 34th St APT 32, Astoria, NY 11106",Apartment for rent,1,bd,1,ba,9 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3232 34th St Apt 32, Astoria, NY 11106"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3232 34th St APT 32"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11106""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.760207,""longitude"":-73.923844},""url"":""/homedetails/3232-34th-St-APT-32-Astoria-NY-11106/2088904261_zpid/""}","$1,900/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/2129-31st-Ave-F3-Astoria-NY-11106/2081896429_zpid/,"2129 31st Ave # F3, Astoria, NY 11106",Apartment for rent,1,bd,1.5,ba,9 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2129 31st Ave # F3, Astoria, NY 11106"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""700""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2129 31st Ave # F3"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11106""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.767044,""longitude"":-73.928678},""url"":""/homedetails/2129-31st-Ave-F3-Astoria-NY-11106/2081896429_zpid/""}","$2,456/mo",700,sqft,Save this home
"https://www.zillow.com/b/2545-31st-St-Astoria-NY/40.769225,-73.918665_ll/","2545 31st St, Astoria, NY",For Rent,"$3,000+",3 bds,,,Updated today,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,,,,
https://www.zillow.com/homedetails/2511-30th-Ave-2A-Astoria-NY-11102/2081896796_zpid/,"2511 30th Ave # 2A, Astoria, NY 11102",Apartment for rent,1,bd,1,ba,10 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2511 30th Ave # 2a, Astoria, NY 11102"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2511 30th Ave # 2A"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11102""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.768596,""longitude"":-73.924487},""url"":""/homedetails/2511-30th-Ave-2A-Astoria-NY-11102/2081896796_zpid/""}","$1,800/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/3421-37th-St-4T-Long-Island-City-NY-11101/2081896797_zpid/,"3421 37th St # 4T, Long Island City, NY 11101",Apartment for rent,3,bds,1,ba,10 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3421 37th St # 4t, Long Island City, NY 11101"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3421 37th St # 4T"",""addressLocality"":""Long Island City"",""addressRegion"":""NY"",""postalCode"":""11101""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.756726,""longitude"":-73.922694},""url"":""/homedetails/3421-37th-St-4T-Long-Island-City-NY-11101/2081896797_zpid/""}","$2,450/mo","1,200",sqft,Save this home
https://www.zillow.com/homedetails/6258-102nd-St-APT-1-Rego-Park-NY-11374/2122032388_zpid/,"6258 102nd St APT 1, Rego Park, NY 11374",Apartment for rent,2,bds,1,ba,10 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6258 102nd St Apt 1, Rego Park, NY 11374"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""690""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6258 102nd St APT 1"",""addressLocality"":""Rego Park"",""addressRegion"":""NY"",""postalCode"":""11374""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.733987,""longitude"":-73.855486},""url"":""/homedetails/6258-102nd-St-APT-1-Rego-Park-NY-11374/2122032388_zpid/""}","$2,200/mo",690,sqft,Save this home
https://www.zillow.com/homedetails/78-10-Eyck-St-B12-Brooklyn-NY-11206/2081897311_zpid/,"78 10 Eyck St # B12, Brooklyn, NY 11206",Apartment for rent,1,bd,1,ba,10 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""78 10 Eyck St # B12, Brooklyn, NY 11206"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""78 10 Eyck St # B12"",""addressLocality"":""Brooklyn"",""addressRegion"":""NY"",""postalCode"":""11206""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.71261,""longitude"":-73.931323},""url"":""/homedetails/78-10-Eyck-St-B12-Brooklyn-NY-11206/2081897311_zpid/""}","$1,800/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/3308-84th-St-2A-Jackson-Heights-NY-11372/2081897312_zpid/,"3308 84th St # 2A, Jackson Heights, NY 11372",Apartment for rent,Studio,ba,1,sqft,10 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3308 84th St # 2a, Jackson Heights, NY 11372"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3308 84th St # 2A"",""addressLocality"":""Jackson Heights"",""addressRegion"":""NY"",""postalCode"":""11372""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.75543,""longitude"":-73.883734},""url"":""/homedetails/3308-84th-St-2A-Jackson-Heights-NY-11372/2081897312_zpid/""}","$1,500/mo",--,,Save this home
