,list-card-link href,list-card-addr,list-card-type,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-variable-text,list-card-link src,list-card-save-content
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""134st Celler S, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""134st Celler S"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67368,""longitude"":-73.81698},""url"":""/homedetails/134st-Celler-S-South-Ozone-Park-NY-11420/2084815209_zpid/""}",https://www.zillow.com/homedetails/134st-Celler-S-South-Ozone-Park-NY-11420/2084815209_zpid/,"134st Celler S, South Ozone Park, NY 11420",Apartment for rent,"$1,200/mo",1,bd,1,ba,--,sqft,10 days ago,https://photos.zillowstatic.com/p_e/ISug8u7012f5k91000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""131st St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""131st St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67777,""longitude"":-73.80989},""url"":""/homedetails/131st-St-Jamaica-NY-11420/2081997330_zpid/""}",https://www.zillow.com/homedetails/131st-St-Jamaica-NY-11420/2081997330_zpid/,"131st St, Jamaica, NY 11420",Apartment for rent,"$1,500/mo",1,bd,1,ba,--,sqft,10 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.677770,-73.809890&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=S3XGrzOa2nwUxb3hiwQ_WWycFmY=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12041 132nd St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,450""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12041 132nd St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.673576,""longitude"":-73.806066},""url"":""/homedetails/12041-132nd-St-Jamaica-NY-11420/32176690_zpid/""}",https://www.zillow.com/homedetails/12041-132nd-St-Jamaica-NY-11420/32176690_zpid/,"12041 132nd St, Jamaica, NY 11420",Apartment for rent,"$2,300/mo",3,bds,1,ba,"3,450",sqft,12 days ago,https://photos.zillowstatic.com/p_e/ISbtghmivhb2zw0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""135th St, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""135th St"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.66711,""longitude"":-73.80346},""url"":""/homedetails/135th-St-S-Ozone-Park-NY-11420/2082020057_zpid/""}",https://www.zillow.com/homedetails/135th-St-S-Ozone-Park-NY-11420/2082020057_zpid/,"135th St, S Ozone Park, NY 11420",Apartment for rent,"$2,300/mo",3,bds,2,ba,--,sqft,13 days ago,https://photos.zillowstatic.com/p_e/ISrtzsd7f5utjh1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""130th St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""130th St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67602,""longitude"":-73.80904},""url"":""/homedetails/130th-St-South-Ozone-Park-NY-11420/2082026718_zpid/""}",https://www.zillow.com/homedetails/130th-St-South-Ozone-Park-NY-11420/2082026718_zpid/,"130th St, South Ozone Park, NY 11420",House for rent,"$2,450/mo",3,bds,1,ba,--,sqft,13 days ago,https://photos.zillowstatic.com/p_e/IS3nigfrounkh30000000000.jpg,Save this home
,https://www.zillow.com/b/10943-135th-st-south-ozone-park-ny-97hJqx/,"10943 135th St, South Ozone Park, NY",For Rent,,"$2,000+",3 bds,,,,,14 days ago,https://photos.zillowstatic.com/p_e/IS7uyoz1lf0m151000000000.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11608 132nd St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,392""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11608 132nd St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.677934,""longitude"":-73.80821},""url"":""/homedetails/11608-132nd-St-Jamaica-NY-11420/32174529_zpid/""}",https://www.zillow.com/homedetails/11608-132nd-St-Jamaica-NY-11420/32174529_zpid/,"11608 132nd St, Jamaica, NY 11420",House for rent,"$1,900/mo",3,bds,1,ba,"1,392",sqft,15 days ago,https://photos.zillowstatic.com/p_e/ISvkrrhamlrdaa1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""108th St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""108th St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67953,""longitude"":-73.83175},""url"":""/homedetails/108th-St-Jamaica-NY-11420/2082071759_zpid/""}",https://www.zillow.com/homedetails/108th-St-Jamaica-NY-11420/2082071759_zpid/,"108th St, Jamaica, NY 11420",House for rent,"$1,300/mo",1,bd,1,ba,--,sqft,17 days ago,https://photos.zillowstatic.com/p_e/IS7qfzv120bkid0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13200 115th Ave Fl 2nd, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13200 115th Ave FL 2ND"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.680048,""longitude"":-73.808932},""url"":""/homedetails/13200-115th-Ave-FL-2ND-South-Ozone-Park-NY-11420/2082078391_zpid/""}",https://www.zillow.com/homedetails/13200-115th-Ave-FL-2ND-South-Ozone-Park-NY-11420/2082078391_zpid/,"13200 115th Ave FL 2ND, South Ozone Park, NY 11420",Apartment for rent,"$1,850/mo",2,bds,1,ba,--,sqft,18 days ago,https://photos.zillowstatic.com/p_e/ISnqiqcsm9gjy40000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10952 134th St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,200""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10952 134th St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.684777,""longitude"":-73.809556},""url"":""/homedetails/10952-134th-St-Jamaica-NY-11420/32171746_zpid/""}",https://www.zillow.com/homedetails/10952-134th-St-Jamaica-NY-11420/32171746_zpid/,"10952 134th St, Jamaica, NY 11420",Apartment for rent,"$2,400/mo",3,bds,1,ba,"2,200",sqft,20 days ago,https://photos.zillowstatic.com/p_e/ISr5tblwqtoh8t0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11550 134th St Fl 2nd, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11550 134th St FL 2ND"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67911,""longitude"":-73.806781},""url"":""/homedetails/11550-134th-St-FL-2ND-S-Ozone-Park-NY-11420/2082095767_zpid/""}",https://www.zillow.com/homedetails/11550-134th-St-FL-2ND-S-Ozone-Park-NY-11420/2082095767_zpid/,"11550 134th St FL 2ND, S Ozone Park, NY 11420",Apartment for rent,"$1,600/mo",1,bd,1,ba,--,sqft,20 days ago,https://photos.zillowstatic.com/p_e/ISfwdgzobbh6tq1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""132nd St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,419""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""132nd St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67222,""longitude"":-73.80637},""url"":""/homedetails/132nd-St-Jamaica-NY-11420/2082106972_zpid/""}",https://www.zillow.com/homedetails/132nd-St-Jamaica-NY-11420/2082106972_zpid/,"132nd St, Jamaica, NY 11420",House for rent,"$2,000/mo",3,bds,2,ba,"1,419",sqft,21 days ago,https://photos.zillowstatic.com/p_e/ISn6bvn7s6i3l50000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13311 123rd St # Wh, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,000""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13311 123rd St # WH"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.671107,""longitude"":-73.81553},""url"":""/homedetails/13311-123rd-St-WH-South-Ozone-Park-NY-11420/2082116583_zpid/""}",https://www.zillow.com/homedetails/13311-123rd-St-WH-South-Ozone-Park-NY-11420/2082116583_zpid/,"13311 123rd St # WH, South Ozone Park, NY 11420",Apartment for rent,"$4,500/mo",3,bds,2.5,ba,"2,000",sqft,21 days ago,https://photos.zillowstatic.com/p_e/ISb56xkbcowwqm0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""150th Ave, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,800""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""150th Ave"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.66725,""longitude"":-73.82387},""url"":""/homedetails/150th-Ave-Jamaica-NY-11420/2082118814_zpid/""}",https://www.zillow.com/homedetails/150th-Ave-Jamaica-NY-11420/2082118814_zpid/,"150th Ave, Jamaica, NY 11420",House for rent,"$2,750/mo",3,bds,2,ba,"1,800",sqft,21 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.667250,-73.823870&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=CJma1KMraJlr-OPQ4Cq3HjhXdP8=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""15019 129th St # 1, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""15019 129th St # 1"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.664535,""longitude"":-73.812124},""url"":""/homedetails/15019-129th-St-1-South-Ozone-Park-NY-11420/2082123820_zpid/""}",https://www.zillow.com/homedetails/15019-129th-St-1-South-Ozone-Park-NY-11420/2082123820_zpid/,"15019 129th St # 1, South Ozone Park, NY 11420",Apartment for rent,"$2,300/mo",3,bds,1,ba,--,sqft,22 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.664535,-73.812124&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=hLe3hvUqoyOViCaRgEBHC_q3iHo=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13001 116th Ave, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,572""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13001 116th Ave"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.678061,""longitude"":-73.809828},""url"":""/homedetails/13001-116th-Ave-Jamaica-NY-11420/32174081_zpid/""}",https://www.zillow.com/homedetails/13001-116th-Ave-Jamaica-NY-11420/32174081_zpid/,"13001 116th Ave, Jamaica, NY 11420",House for rent,"$2,400/mo",3,bds,1,ba,"1,572",sqft,25 days ago,https://photos.zillowstatic.com/p_e/IS7i5eufzbh42m0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""149 116th St # 149, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,000""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""149 116th St # 149"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.679421,""longitude"":-73.823403},""url"":""/homedetails/149-116th-St-149-South-Ozone-Park-NY-11420/2082511094_zpid/""}",https://www.zillow.com/homedetails/149-116th-St-149-South-Ozone-Park-NY-11420/2082511094_zpid/,"149 116th St # 149, South Ozone Park, NY 11420",Apartment for rent,"$2,800/mo",3,bds,1,ba,"2,000",sqft,27 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.679421,-73.823403&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=wCuO47mZZzfeVc02gnqaePpqBa0=",Save this home
,"https://www.zillow.com/b/115-Ave-134-St-South-Ozone-Park-NY/40.673349,-73.817614_ll/","115 Ave 134 St, South Ozone Park, NY",For Rent,,"$1,500",2 bds,"$2,800",3 bds,,,28 days ago,https://photos.zillowstatic.com/p_e/ISv4j6zx7f4kod1000000000.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""120th St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""120th St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.68051,""longitude"":-73.82133},""url"":""/homedetails/120th-St-South-Ozone-Park-NY-11420/2082201823_zpid/""}",https://www.zillow.com/homedetails/120th-St-South-Ozone-Park-NY-11420/2082201823_zpid/,"120th St, South Ozone Park, NY 11420",Apartment for rent,"$2,200/mo",2,bds,1,ba,"1,000",sqft,28 days ago,https://photos.zillowstatic.com/p_e/IS7ue9iuc0w4ze1000000000.jpg,Save this home
